epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.963,0.63656,2.18766,1.16202,0.73936,0.70005,0.79874,0.66749,0.57288,1.25733,1.09077,0.000330808,0.000330808,0.000330808
2,35.5074,0.67114,1.41347,1.16336,0.74945,0.67575,0.78619,0.62164,0.71959,1.33778,1.22777,0.000647704,0.000647704,0.000647704
3,51.2092,0.69812,1.26704,1.16478,0.74089,0.72955,0.83076,0.64953,0.74368,1.42145,1.28997,0.0009481,0.0009481,0.0009481
4,66.7368,0.70101,1.16159,1.16482,0.83576,0.72636,0.83931,0.66289,0.73845,0.99986,1.26872,0.00092575,0.00092575,0.00092575
5,82.0625,0.67478,1.03448,1.15006,0.7877,0.74686,0.84534,0.6874,0.67422,1.11266,1.18587,0.000901,0.000901,0.000901
6,97.6353,0.67213,0.97408,1.14485,0.71146,0.76991,0.84085,0.69061,0.66418,1.10594,1.15674,0.00087625,0.00087625,0.00087625
7,113.267,0.63331,0.9237,1.13017,0.82661,0.84027,0.90232,0.74792,0.63144,0.77803,1.15272,0.0008515,0.0008515,0.0008515
8,128.859,0.62166,0.86317,1.11811,0.92924,0.86593,0.94459,0.80789,0.57071,0.6065,1.09468,0.00082675,0.00082675,0.00082675
9,144.248,0.60203,0.78864,1.1033,0.90081,0.86694,0.9412,0.79701,0.59758,0.63517,1.09817,0.000802,0.000802,0.000802
10,159.599,0.57124,0.72866,1.08379,0.90917,0.82664,0.92787,0.80275,0.55284,0.64952,1.07912,0.00077725,0.00077725,0.00077725
11,175.315,0.56949,0.71504,1.08215,0.89231,0.88172,0.9447,0.81826,0.53077,0.56957,1.046,0.0007525,0.0007525,0.0007525
12,190.904,0.55756,0.6733,1.07633,0.90756,0.85227,0.94374,0.83146,0.52075,0.56078,1.03978,0.00072775,0.00072775,0.00072775
13,206.314,0.55293,0.65675,1.07432,0.92306,0.8851,0.96053,0.84059,0.5008,0.51768,1.00773,0.000703,0.000703,0.000703
14,221.804,0.53998,0.62991,1.0668,0.93267,0.89776,0.95849,0.84757,0.49481,0.49305,1.01985,0.00067825,0.00067825,0.00067825
15,237.113,0.52288,0.60358,1.04958,0.93353,0.88821,0.95906,0.83809,0.50296,0.49191,1.01767,0.0006535,0.0006535,0.0006535
16,252.611,0.53957,0.59718,1.06209,0.9248,0.88134,0.9597,0.84557,0.47942,0.48676,1.00505,0.00062875,0.00062875,0.00062875
17,268.191,0.51652,0.57045,1.04913,0.96067,0.90145,0.96832,0.85527,0.48953,0.43418,0.99549,0.000604,0.000604,0.000604
18,284.063,0.50447,0.55135,1.04308,0.93928,0.91285,0.96591,0.86245,0.46698,0.43105,0.99283,0.00057925,0.00057925,0.00057925
19,299.609,0.48679,0.54233,1.02986,0.94277,0.91818,0.96838,0.86746,0.44931,0.41369,0.97283,0.0005545,0.0005545,0.0005545
20,315.165,0.48704,0.52369,1.03024,0.94949,0.91846,0.97247,0.87612,0.45592,0.41334,0.9772,0.00052975,0.00052975,0.00052975
21,331.121,0.47545,0.51684,1.02525,0.93619,0.92792,0.96978,0.87655,0.43578,0.39833,0.96999,0.000505,0.000505,0.000505
22,347.282,0.46682,0.4957,1.0224,0.93373,0.92562,0.96924,0.87921,0.43414,0.40657,0.96753,0.00048025,0.00048025,0.00048025
23,362.788,0.46023,0.48138,1.01664,0.96127,0.91826,0.97193,0.87914,0.43202,0.38434,0.96654,0.0004555,0.0004555,0.0004555
24,378.749,0.45319,0.48036,1.01154,0.95116,0.91237,0.96941,0.87663,0.43303,0.38808,0.96151,0.00043075,0.00043075,0.00043075
25,394.303,0.45291,0.45973,1.00602,0.94963,0.91991,0.97337,0.88786,0.43464,0.38815,0.96117,0.000406,0.000406,0.000406
26,409.645,0.44877,0.45453,1.01383,0.95365,0.93738,0.97249,0.88876,0.42035,0.37007,0.9508,0.00038125,0.00038125,0.00038125
27,425.161,0.43525,0.43164,1.00286,0.94569,0.9333,0.97145,0.88219,0.42164,0.37798,0.956,0.0003565,0.0003565,0.0003565
28,440.669,0.42643,0.42941,0.9944,0.95666,0.93703,0.97421,0.89413,0.4094,0.34577,0.9477,0.00033175,0.00033175,0.00033175
29,456.105,0.41853,0.4264,1.00094,0.96186,0.92889,0.97594,0.89206,0.40769,0.35724,0.93753,0.000307,0.000307,0.000307
30,471.528,0.41492,0.40622,0.9936,0.96623,0.94313,0.97637,0.89749,0.40062,0.33505,0.93816,0.00028225,0.00028225,0.00028225
31,494.596,0.33719,0.34383,0.93098,0.94487,0.93354,0.97084,0.89292,0.40569,0.36073,0.94657,0.0002575,0.0002575,0.0002575
32,510.771,0.32454,0.3015,0.91404,0.97062,0.928,0.97501,0.89354,0.3975,0.34107,0.93959,0.00023275,0.00023275,0.00023275
33,527.122,0.30924,0.28251,0.90729,0.96724,0.93606,0.97704,0.89773,0.39686,0.32612,0.93616,0.000208,0.000208,0.000208
34,543.585,0.30488,0.28263,0.90784,0.95861,0.93654,0.97345,0.89622,0.38832,0.33005,0.93404,0.00018325,0.00018325,0.00018325
35,560.417,0.29484,0.2538,0.90046,0.95604,0.94818,0.97502,0.90553,0.37732,0.31321,0.92313,0.0001585,0.0001585,0.0001585
36,579.446,0.28735,0.24942,0.8897,0.96001,0.94539,0.97484,0.90726,0.37532,0.30972,0.92558,0.00013375,0.00013375,0.00013375
37,598.079,0.27904,0.24745,0.88522,0.9604,0.94914,0.97641,0.90819,0.37134,0.30999,0.92171,0.000109,0.000109,0.000109
38,616.87,0.26847,0.23028,0.88403,0.96639,0.94484,0.97838,0.90838,0.36701,0.29929,0.91731,8.425e-05,8.425e-05,8.425e-05
39,635.684,0.26878,0.23055,0.87533,0.96961,0.94189,0.97692,0.90932,0.36474,0.30331,0.91451,5.95e-05,5.95e-05,5.95e-05
40,654.874,0.25909,0.22542,0.88079,0.96588,0.94452,0.97759,0.91326,0.35956,0.29591,0.9128,3.475e-05,3.475e-05,3.475e-05
