epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6561,0.66339,2.49427,1.17474,0.81179,0.74524,0.82421,0.6958,0.59023,1.23522,1.1326,0.000330808,0.000330808,0.000330808
2,46.6703,0.68182,1.47,1.1673,0.64657,0.68728,0.75019,0.58933,0.74571,1.4928,1.26577,0.000647704,0.000647704,0.000647704
3,64.1045,0.70376,1.32225,1.17565,0.73031,0.73053,0.78235,0.63299,0.69783,1.25399,1.22562,0.0009481,0.0009481,0.0009481
4,81.4518,0.69675,1.16955,1.16811,0.74949,0.72394,0.82302,0.65421,0.7147,1.1612,1.24322,0.00092575,0.00092575,0.00092575
5,98.6335,0.69151,1.05817,1.16351,0.65285,0.60419,0.61851,0.48959,0.7174,1.90258,1.21086,0.000901,0.000901,0.000901
6,115.845,0.68286,1.00753,1.15734,0.8731,0.81115,0.90267,0.74187,0.63803,0.77075,1.1522,0.00087625,0.00087625,0.00087625
7,133.134,0.64432,0.91619,1.14416,0.85501,0.78944,0.89015,0.7361,0.60908,0.77606,1.14484,0.0008515,0.0008515,0.0008515
8,150.743,0.62706,0.87602,1.12643,0.84978,0.81544,0.89343,0.75247,0.60951,0.80415,1.13176,0.00082675,0.00082675,0.00082675
9,171.802,0.6273,0.79895,1.11887,0.87787,0.80691,0.91929,0.76804,0.59056,0.70583,1.09756,0.000802,0.000802,0.000802
10,189.174,0.58224,0.74014,1.08964,0.82166,0.8254,0.88694,0.76394,0.55222,0.74698,1.06448,0.00077725,0.00077725,0.00077725
11,206.223,0.58085,0.71784,1.09074,0.89277,0.85053,0.93333,0.80084,0.55604,0.58131,1.07356,0.0007525,0.0007525,0.0007525
12,223.858,0.58006,0.70162,1.09149,0.89311,0.83048,0.91778,0.79185,0.55232,0.63523,1.08152,0.00072775,0.00072775,0.00072775
13,240.882,0.5642,0.65519,1.08329,0.92258,0.89935,0.95598,0.84245,0.48468,0.48913,1.00842,0.000703,0.000703,0.000703
14,258.254,0.5522,0.63276,1.07912,0.90689,0.89012,0.95529,0.83713,0.50727,0.48402,1.02874,0.00067825,0.00067825,0.00067825
15,275.71,0.5355,0.61068,1.06081,0.93162,0.8875,0.95278,0.83752,0.49678,0.47337,1.02717,0.0006535,0.0006535,0.0006535
16,293.108,0.53359,0.5994,1.0654,0.93812,0.87999,0.94929,0.84245,0.47933,0.48443,1.00626,0.00062875,0.00062875,0.00062875
17,310.527,0.5305,0.5927,1.0575,0.94536,0.89775,0.95863,0.85424,0.47891,0.45244,1.00782,0.000604,0.000604,0.000604
18,327.829,0.50952,0.56438,1.0499,0.92877,0.89028,0.95977,0.85968,0.46248,0.44015,1.00396,0.00057925,0.00057925,0.00057925
19,344.86,0.49234,0.54861,1.03717,0.93483,0.9039,0.95726,0.85524,0.46494,0.43133,1.00281,0.0005545,0.0005545,0.0005545
20,362.071,0.5037,0.54167,1.0441,0.94688,0.90008,0.96333,0.86702,0.45514,0.40727,0.99467,0.00052975,0.00052975,0.00052975
21,379.223,0.48478,0.51541,1.03344,0.95929,0.90547,0.96236,0.86236,0.45131,0.4056,0.98882,0.000505,0.000505,0.000505
22,396.425,0.4727,0.51047,1.02312,0.94438,0.89824,0.9604,0.86993,0.4352,0.41399,0.97067,0.00048025,0.00048025,0.00048025
23,413.986,0.46484,0.49486,1.02017,0.95347,0.9207,0.9688,0.87109,0.44678,0.39379,0.98682,0.0004555,0.0004555,0.0004555
24,433.277,0.45661,0.47961,1.01611,0.95724,0.90613,0.96515,0.87227,0.43998,0.38494,0.97874,0.00043075,0.00043075,0.00043075
25,452.302,0.46767,0.47903,1.01567,0.94559,0.91042,0.96924,0.87461,0.44133,0.4066,0.98049,0.000406,0.000406,0.000406
26,471.117,0.45798,0.45982,1.02052,0.95611,0.89796,0.96494,0.87893,0.43615,0.37984,0.9892,0.00038125,0.00038125,0.00038125
27,490.593,0.44256,0.43405,1.00873,0.96266,0.90619,0.9677,0.87884,0.43621,0.3753,0.97993,0.0003565,0.0003565,0.0003565
28,510.836,0.43966,0.42815,1.005,0.95681,0.91841,0.97183,0.88521,0.41363,0.34886,0.96314,0.00033175,0.00033175,0.00033175
29,530.927,0.42461,0.41908,1.00442,0.95972,0.91836,0.97212,0.88956,0.40181,0.34393,0.95075,0.000307,0.000307,0.000307
30,551.38,0.41733,0.40323,0.99609,0.95428,0.92031,0.97381,0.89363,0.39871,0.34112,0.95205,0.00028225,0.00028225,0.00028225
31,579.172,0.33434,0.32903,0.93412,0.96494,0.93409,0.97437,0.89495,0.38665,0.32331,0.94008,0.0002575,0.0002575,0.0002575
32,599.157,0.32467,0.30341,0.92131,0.95917,0.92959,0.97246,0.8919,0.39781,0.33747,0.94291,0.00023275,0.00023275,0.00023275
33,619.501,0.31011,0.27339,0.91644,0.95161,0.93989,0.97517,0.89069,0.39875,0.32515,0.95528,0.000208,0.000208,0.000208
34,640.691,0.30878,0.2736,0.91377,0.96661,0.91773,0.97421,0.90004,0.38227,0.32807,0.9384,0.00018325,0.00018325,0.00018325
35,662.803,0.29587,0.25616,0.90354,0.96807,0.93248,0.97582,0.90618,0.37492,0.31267,0.92897,0.0001585,0.0001585,0.0001585
36,683.805,0.28297,0.24926,0.88697,0.95915,0.92658,0.97703,0.90397,0.37671,0.31013,0.93695,0.00013375,0.00013375,0.00013375
37,707.63,0.27967,0.239,0.88844,0.97265,0.92725,0.97631,0.90508,0.36573,0.30179,0.92854,0.000109,0.000109,0.000109
38,730.442,0.26961,0.228,0.88366,0.96781,0.93613,0.97657,0.90642,0.3604,0.29658,0.92034,8.425e-05,8.425e-05,8.425e-05
39,752.6,0.26539,0.22655,0.87724,0.97978,0.93252,0.9784,0.90687,0.35876,0.28556,0.92063,5.95e-05,5.95e-05,5.95e-05
40,773.786,0.25928,0.21264,0.88096,0.97675,0.92863,0.97816,0.91197,0.35175,0.28116,0.91462,3.475e-05,3.475e-05,3.475e-05
